"","jurisdiction","url","register","gleif_racode_exact","gleif_racode_inexact_90","gleif_racode_inexact_80"
"0","Abu Dhabi (UAE)","/registers/1","Abu Dhabi Chamber of Commerce and Industry- Online Commercial Directory","","",""
"1","Afghanistan","/registers/2","Afghanistan Central Business Registry","","",""
"2","Ajman (UAE)","/registers/3","Ajman Chamber of Commerce and Industry- Commercial Register","","",""
"3","Alabama (US)","/registers/4","Secretary of State's Government Records","","",""
"4","Alaska (US)","/registers/5","Alaska Department of Commerce","","",""
"5","Albania","/registers/6","Albania National Registration Center","","","RA000002"
"6","Alberta (Canada)","/registers/7","Corporate Registry Office","","",""
"7","Algeria","/registers/8","National Commercial Registry Center","","",""
"8","Angola","/registers/9","Central Register of Social Denominations","","",""
"9","Anhui (China)","/registers/10","Anhui Provincial AIC Enterprise Registry","","",""
"10","Antigua and Barbuda","/registers/11","Intellectual Property and Commerce Office","RA000007","RA000007","RA000007"
"11","Argentina","/registers/12","Inspección General de Justicia ","","",""
"12","Arizona (US)","/registers/13","Arizona Corporation Commission","","",""
"13","Arkansas (US)","/registers/14","Business & Commercial Services","","",""
"14","Armenia","/registers/15","Electronic Register Government of Armenia","","",""
"15","Australia","/registers/16","Australian Securities and Investment Commission (ASIC)","","RA000015","RA000015"
"16","Australia","/registers/17","Office of the Registrar of Indigenous Corporations (ORIC)","RA000016","RA000016","RA000016"
"17","Austria","/registers/18","Federal Ministry of Justice, Company Register","","",""
"18","Azerbaijan","/registers/19","The Ministry of Taxes of Azerbaijan Republic - State Register of Commercial Entities","","",""
"19","Bahamas","/registers/20","Registrar General's Department","","",""
"20","Bahrain","/registers/21","Ministry of Industry & Commerce","","","RA000021"
"21","Bangladesh","/registers/22","Office of the Registrar of Joint Stock Companies and Firms","RA000022","RA000022","RA000022"
"22","Barbados","/registers/23","Corporate Affairs and Intellectual Property Office","RA000023","RA000023","RA000023"
"23","Beijing (China)","/registers/24","Beijing Municipal AIC Enterprise Registry","","",""
"24","Belarus","/registers/25","Ministry of Justice - Unified State Register of Legal Entities and Individual Entrepreneurs","","","RA000024"
"25","Belgium","/registers/26","Federale Overheidsdienst Economie, K.M.O., Middenstand en Energie ","","",""
"26","Belize","/registers/27","IBCR Belize - International Business Companies Registry","","","RA000693"
"27","Benin","/registers/28","Chamber of Commerce and Industry","","","RA000027"
"28","Bermuda","/registers/29","Bermuda Registrar of Companies","","",""
"29","Bhutan","/registers/30","Ministry of Economic Affairs","","",""
"30","Bolivia","/registers/31","Trade Register Bolivia","","",""
"31","Bosnia and Herzegovina","/registers/32","Registers of Business Entities in Bosnia and Herzegovina","RA000034","RA000034","RA000034"
"32","Botswana","/registers/33","Ministry of Trade and Industry","","",""
"33","Brazil","/registers/34","Cadastro Nacional da Pessoa Jurídica","RA000681","RA000681","RA000681"
"34","British Columbia (Canada)","/registers/35","British Columbia Corporate Registry","","",""
"35","Brunei Darussalam","/registers/36","Attorney General's Chambers - Registries' Division","","",""
"36","Bulgaria","/registers/37","Ministry of Justice Registry Agency","","",""
"37","Burkina Faso","/registers/38","Centre des Formalités de Entreprise (CEFORE)","","",""
"38","Burundi","/registers/39","Burundi Investment Promotion Agency (API)","RA000068","RA000068","RA000068"
"39","Cape Verde","/registers/40","Cabo Verde Commercial Register","","",""
"40","California (US)","/registers/41","Business Entities Section of the Secretary of State’s Department","","",""
"41","Cambodia","/registers/42","Ministry of Commerce","RA000070","RA000070","RA000070"
"42","Cameroon","/registers/43","Chamber of Commerce, Industry, Mines and Crafts (CCIMA)","","",""
"43","Canada","/registers/44","Corporations Canada","RA000072","RA000072","RA000072"
"44","Central African Republic","/registers/45","Guichet Unique de formalité des Entreprises (GUFE), Commercial Registry (Tribunal)","","",""
"45","Chad","/registers/46","Service d’Enregistrement, des Domaines et du Timbre, Company Register","","","RA000089"
"46","Chile","/registers/47","Registrar of Companies and Societies","","",""
"47","China","/registers/48","State Administration for Industry and Commerce (AIC), Enterprise Registry","","",""
"48","Chongqing (China)","/registers/49","Chongqing Municipal AIC Enterprise Registry","","",""
"49","Colombia","/registers/50","Single Business Register (RUE), Colombian Chambers of Commerce","","",""
"50","Colorado (US)","/registers/51","Business Division of the Secretary of State’s office & Colorado Information Marketplace","","",""
"51","Comoros","/registers/52","Commercial Court Registry","","",""
"52","Democratic Republic of the Congo","/registers/53","Commercial Registry","","",""
"53","Congo","/registers/54","Clerk’s Office of the Court - Commercial Registrar","","",""
"54","Connecticut (US)","/registers/55","Secretary of the State's Commercial Recording Division","","",""
"55","Costa Rica","/registers/56","National Registry","","",""
"56","Croatia","/registers/57","Croatian Chamber of Commerce","","",""
"57","Cyprus","/registers/58","Cyprus Department of Registrar of Companies and Official Receiver","","RA000161","RA000161"
"58","Czech Republic","/registers/59","Public Register, Ministry of Justice","","",""
"59","Côte d'Ivoire","/registers/60","Trade and Personal Property Credit Register","","",""
"60","Delaware (US)","/registers/61","Division of Corporations, Department of State","","",""
"61","Denmark","/registers/62","Central Business Register, Danish Business Authority","","",""
"62","District of Columbia (US)","/registers/63","Department of Consumer and Regulatory Affairs","","",""
"63","Djibouti","/registers/64","Djibouti Chamber of Commerce","","","RA000172"
"64","Dominica","/registers/65","The Companies and Intellectual Property Office, Commercial Registry","","",""
"65","Dominican Republic","/registers/66","National Office of Industrial Property","RA000174","RA000174","RA000174"
"66","Dubai (UAE)","/registers/67","Dubai Chamber of Commerce and Industry- Commercial Directory","","",""
"67","Ecuador","/registers/68","Superintendency of Companies","","",""
"68","Egypt","/registers/69"," General Authority for Free Zones and Investment (GAFI), Commercial Registry","","",""
"69","El Salvador","/registers/70","El Salvador Trade Register","","",""
"70","Equatorial Guinea","/registers/71","Ministry of Commerce, Commercial Registry","","",""
"71","Eritrea","/registers/72","Ministry of Trade and Industry, Commercial Registry","","",""
"72","Estonia","/registers/73","Centre of Registers and Information Systems - Registrite ja Infosüsteemide Keskus","","",""
"73","Ethiopia","/registers/74","Ministry of Trade and Industry","","",""
